registrant,client,trail4_income,n_quarters,first_seen,new_this_q,re_engaged,term_uuid,lda_public_url
"CONTINENTAL STRATEGY, LLC",LAUNCH ON DEMAND CORPORATION,72858,1,2026-Q1,True,0,f7836e31-21d3-4332-829f-6e85ff31c35a,https://lda.senate.gov/filings/public/filing/f7836e31-21d3-4332-829f-6e85ff31c35a/print/
KAIROS GOVERNMENT AFFAIRS,MERC Aerospace,72000,5,2025-Q1,False,0,fa83098f-a08c-45b9-af07-4bc2ae2fa2d5,https://lda.senate.gov/filings/public/filing/fa83098f-a08c-45b9-af07-4bc2ae2fa2d5/print/
"TWENTY-FIRST CENTURY GROUP, INC.","RAFAEL HOLDINGS, INC.",72000,3,2025-Q3,False,0,03f9a0ba-ddf4-4176-94db-c19a3ae52950,https://lda.senate.gov/filings/public/filing/03f9a0ba-ddf4-4176-94db-c19a3ae52950/print/
MORRISON PUBLIC AFFAIRS GROUP,AMERICAN IMMIGRANT INVESTOR ALLIANCE,70000,7,2022-Q1,False,0,c8750eea-2239-44f4-ae97-3612faf0af71,https://lda.senate.gov/filings/public/filing/c8750eea-2239-44f4-ae97-3612faf0af71/print/
INVARIANT LLC,ANCOR,70000,7,2024-Q3,False,0,d736b4b3-b30b-419c-8e15-5da249e301f2,https://lda.senate.gov/filings/public/filing/d736b4b3-b30b-419c-8e15-5da249e301f2/print/
COZEN O'CONNOR PUBLIC STRATEGIES,"AT&T Services, Inc.",70000,7,2024-Q3,False,0,b30b050b-ada9-4c56-b277-afafc8cf4e2d,https://lda.senate.gov/filings/public/filing/b30b050b-ada9-4c56-b277-afafc8cf4e2d/print/
CARDINAL POINT PARTNERS,BLACK & VEATCH,70000,17,2022-Q1,False,0,9a98d505-dcad-4cc7-8dcc-0059a8067f6c,https://lda.senate.gov/filings/public/filing/9a98d505-dcad-4cc7-8dcc-0059a8067f6c/print/
"BARNES & THORNBURG, LLP",BRIGHTSTAR GLOBAL SOLUTIONS CORPORATION (FORMERLY KNOWN AS IGT GLOBAL SOL CORP),70000,7,2024-Q3,False,0,ce1b775f-71e6-4247-920b-b79dc85050c9,https://lda.senate.gov/filings/public/filing/ce1b775f-71e6-4247-920b-b79dc85050c9/print/
AMERICAN DEFENSE INTERNATIONAL,Bitdeer Technologies Group,70000,4,2025-Q2,False,0,10cb84cb-fd83-44a1-bb3f-3c9fcc34d75d,https://lda.senate.gov/filings/public/filing/10cb84cb-fd83-44a1-bb3f-3c9fcc34d75d/print/
ZERO ONE STRATEGIES,"Block, Inc.",70000,7,2024-Q3,False,0,82223ab8-9efd-49d6-8bed-d9e25ae93713,https://lda.senate.gov/filings/public/filing/82223ab8-9efd-49d6-8bed-d9e25ae93713/print/
COZEN O'CONNOR PUBLIC STRATEGIES,CAPITOL COUNSEL LLC ON BEHALF OF FIRSTFLOOR,70000,17,2022-Q1,False,0,3b407503-f5a2-4347-be70-959714794e4c,https://lda.senate.gov/filings/public/filing/3b407503-f5a2-4347-be70-959714794e4c/print/
"PORTER GROUP, LLC",CITY OF FALLON,70000,17,2022-Q1,False,0,c7a9ca75-43d2-44e6-b08d-1b52be62ae84,https://lda.senate.gov/filings/public/filing/c7a9ca75-43d2-44e6-b08d-1b52be62ae84/print/
"THE PETRIZZO GROUP, INC.",Cleveland Clinic Foundation,70000,4,2025-Q2,False,0,33ce54dc-866f-4a31-86c1-078ba2ef1bca,https://lda.senate.gov/filings/public/filing/33ce54dc-866f-4a31-86c1-078ba2ef1bca/print/
BLOOM STRATEGIC COUNSEL,Comcast Corporation,70000,17,2022-Q1,False,0,08f2b130-f045-44fa-a34f-cb39fefdc9e1,https://lda.senate.gov/filings/public/filing/08f2b130-f045-44fa-a34f-cb39fefdc9e1/print/
CHAMBER HILL STRATEGIES,CorVent Medical,70000,3,2025-Q3,False,0,f69d50cd-7534-4e24-a209-1731342c411b,https://lda.senate.gov/filings/public/filing/f69d50cd-7534-4e24-a209-1731342c411b/print/
"CM STRATEGIC, LLC",Do No Harm,70000,3,2025-Q3,False,0,9175cffd-876b-456c-bd79-8f7c72b470b7,https://lda.senate.gov/filings/public/filing/9175cffd-876b-456c-bd79-8f7c72b470b7/print/
FORBES-TATE,EZ ACCESS,70000,2,2025-Q4,False,0,973383eb-d736-4a24-af74-d1008d2059d8,https://lda.senate.gov/filings/public/filing/973383eb-d736-4a24-af74-d1008d2059d8/print/
MONUMENT ADVOCACY,FIREFLY GLOBAL GROUP,70000,2,2025-Q4,False,0,1c4b5dbf-9698-4f4c-8820-782cb53e45e2,https://lda.senate.gov/filings/public/filing/1c4b5dbf-9698-4f4c-8820-782cb53e45e2/print/
"MILLER STRATEGIES, LLC",FIRST PUBLIC HYDROGEN AUTHORITY,70000,2,2025-Q4,False,0,00a6fe99-fd24-4ec8-93b3-91d890b85885,https://lda.senate.gov/filings/public/filing/00a6fe99-fd24-4ec8-93b3-91d890b85885/print/
"THE ARTEMIS GROUP, LLC (OKLAHOMA)","FREEFALL AEROSPACE, INC.",70000,4,2025-Q2,False,0,09ea52bc-6648-4966-8d7e-b5a8a8449498,https://lda.senate.gov/filings/public/filing/09ea52bc-6648-4966-8d7e-b5a8a8449498/print/
DAVE KOLBE CONSULTING,INT'L ASSOCIATION OF BRIDGE STRUCTURAL ORNAMENTAL & REINFORCING IRON WORKERS,70000,17,2022-Q1,False,0,fbc8fb30-e7f9-47ce-9009-94a2905af0f7,https://lda.senate.gov/filings/public/filing/fbc8fb30-e7f9-47ce-9009-94a2905af0f7/print/
"BALLARD PARTNERS, LLC",JEA,70000,6,2024-Q4,False,0,f161b7d4-5fbd-464d-b3cf-20569754b402,https://lda.senate.gov/filings/public/filing/f161b7d4-5fbd-464d-b3cf-20569754b402/print/
WINNING STRATEGIES WASHINGTON,"Kids2, LLC",70000,5,2025-Q1,False,0,f3bace57-ce2c-4ed7-be9c-bc14ef1ad570,https://lda.senate.gov/filings/public/filing/f3bace57-ce2c-4ed7-be9c-bc14ef1ad570/print/
"BECKER & POLIAKOFF, P.A.",Koppers Inc.,70000,5,2025-Q1,False,0,34aecff2-ec0e-4cad-9850-0377177fbecf,https://lda.senate.gov/filings/public/filing/34aecff2-ec0e-4cad-9850-0377177fbecf/print/
COZEN O'CONNOR PUBLIC STRATEGIES,NATIONAL ASSOCIATION OF REGIONAL COUNCILS,70000,6,2024-Q4,False,0,10cfedfd-bf12-430f-8e7a-a510da89219e,https://lda.senate.gov/filings/public/filing/10cfedfd-bf12-430f-8e7a-a510da89219e/print/
ASCEND CONSULTING,National Military Family Association,70000,5,2025-Q1,False,0,36646f12-fca8-4c39-a9aa-0e30d28f8f33,https://lda.senate.gov/filings/public/filing/36646f12-fca8-4c39-a9aa-0e30d28f8f33/print/
MAVEN ADVOCACY PARTNERS LLC,National Wildlife Federation,70000,4,2025-Q2,False,0,c623ad9d-fe53-4544-a9c0-585623d1c7fc,https://lda.senate.gov/filings/public/filing/c623ad9d-fe53-4544-a9c0-585623d1c7fc/print/
THORN RUN PARTNERS,PENINSULA CLEAN ENERGY AUTHORITY,70000,9,2024-Q1,False,0,fc704fb4-97ee-4e23-8e91-5dd07bdf529a,https://lda.senate.gov/filings/public/filing/fc704fb4-97ee-4e23-8e91-5dd07bdf529a/print/
KLEIN/JOHNSON GROUP,"POTOMAC HOLDINGS, LLC",70000,3,2025-Q3,False,0,e2fd28f2-ffd7-4ada-991f-b1490566c781,https://lda.senate.gov/filings/public/filing/e2fd28f2-ffd7-4ada-991f-b1490566c781/print/
THE BERNHARDT GROUP LLC,"PROTECT HOLLYWOOD BEACH, INC.",70000,3,2025-Q3,False,0,2bb8e920-f7b6-4316-8d32-475119c5404b,https://lda.senate.gov/filings/public/filing/2bb8e920-f7b6-4316-8d32-475119c5404b/print/
AKIN GUMP STRAUSS HAUER & FELD,Pipe Line Contractors Association,70000,17,2022-Q1,False,0,0554c69e-aed4-4f0e-a86a-96fda9059124,https://lda.senate.gov/filings/public/filing/0554c69e-aed4-4f0e-a86a-96fda9059124/print/
EASTPORT STRATEGIES LLC,"SMART ENERGY, LLC (FKA CLEAN ENERGY, LLC)",70000,9,2024-Q1,False,0,2a007aa5-539b-4525-97b2-8488034b7007,https://lda.senate.gov/filings/public/filing/2a007aa5-539b-4525-97b2-8488034b7007/print/
"THE MCKEON GROUP, INC.",SUNATION ENERGY,70000,4,2025-Q2,False,0,636615d3-14bf-4780-a96b-a09ea112de12,https://lda.senate.gov/filings/public/filing/636615d3-14bf-4780-a96b-a09ea112de12/print/
"BECKER & POLIAKOFF, P.A.","Sea & Shoreline, LLC",70000,13,2023-Q1,False,0,1f0f03bc-56f6-4fa1-a18c-a0b3ce388264,https://lda.senate.gov/filings/public/filing/1f0f03bc-56f6-4fa1-a18c-a0b3ce388264/print/
"BOCKORNY GROUP, INC.",Surdex Corporation,70000,4,2025-Q2,False,0,0b658605-75ce-4163-a2bc-fb7b0f2467fb,https://lda.senate.gov/filings/public/filing/0b658605-75ce-4163-a2bc-fb7b0f2467fb/print/
COZEN O'CONNOR PUBLIC STRATEGIES,"The Everglades Trust, Inc.",70000,14,2022-Q4,False,0,122f5c85-d33d-40df-a104-179e5858094b,https://lda.senate.gov/filings/public/filing/122f5c85-d33d-40df-a104-179e5858094b/print/
FGS GLOBAL (US) LLC (FKA FGH HOLDINGS LLC),VISIONRNG LLC,70000,9,2024-Q1,False,0,b8780da8-1910-4242-b78a-663c0fb9b66b,https://lda.senate.gov/filings/public/filing/b8780da8-1910-4242-b78a-663c0fb9b66b/print/
THE CONSILIO GROUP,Cipher Tech Solutions,67500,17,2022-Q1,False,0,1ea929bd-928a-4069-a4b1-8629e90cdbac,https://lda.senate.gov/filings/public/filing/1ea929bd-928a-4069-a4b1-8629e90cdbac/print/
"CONTINENTAL STRATEGY, LLC",SAVE OUR SIMULATION,66000,3,2025-Q3,False,0,36f05b09-c8c6-46aa-903d-c0c02d942171,https://lda.senate.gov/filings/public/filing/36f05b09-c8c6-46aa-903d-c0c02d942171/print/
"LSN PARTNERS, LLC",CARBYNE INC.,65000,17,2022-Q1,False,0,eddeb65f-a03c-49f6-9456-cd5087c23395,https://lda.senate.gov/filings/public/filing/eddeb65f-a03c-49f6-9456-cd5087c23395/print/
"CARLOUGH SOLUTIONS, LLC",Parry Labs,65000,6,2024-Q4,False,0,0f3b972d-10b4-426b-9168-72585f62276c,https://lda.senate.gov/filings/public/filing/0f3b972d-10b4-426b-9168-72585f62276c/print/
"T CAP SOLUTIONS, LLC",RSBIX,65000,2,2025-Q4,False,0,8b10d903-cff9-4ac7-bf9f-37807bd68444,https://lda.senate.gov/filings/public/filing/8b10d903-cff9-4ac7-bf9f-37807bd68444/print/
THE CONSILIO GROUP,SURMET,63000,15,2022-Q3,False,0,b6246ddb-5534-4f3f-9322-1ba9f521ea23,https://lda.senate.gov/filings/public/filing/b6246ddb-5534-4f3f-9322-1ba9f521ea23/print/
"MILLER STRATEGIES, LLC","ALICE GROUP USA, LLC",60000,2,2025-Q4,False,0,1cbb90ad-c394-410e-a908-1e0bcd36dd05,https://lda.senate.gov/filings/public/filing/1cbb90ad-c394-410e-a908-1e0bcd36dd05/print/
"OSCAR POLICY GROUP, LLC",APEEL SCIENCES,60000,7,2024-Q3,False,0,5a5acf81-e8e2-45c4-85fb-aea46622b689,https://lda.senate.gov/filings/public/filing/5a5acf81-e8e2-45c4-85fb-aea46622b689/print/
THE VOGEL GROUP,AVARA PHARMACEUTICALS INC.,60000,2,2025-Q4,False,0,83ddcb41-5af8-410d-bbee-26469ed8311c,https://lda.senate.gov/filings/public/filing/83ddcb41-5af8-410d-bbee-26469ed8311c/print/
WINNING STRATEGIES WASHINGTON,Aalo Atomics,60000,4,2025-Q2,False,0,9f7e50a7-b737-480c-acfd-5ae90df1911d,https://lda.senate.gov/filings/public/filing/9f7e50a7-b737-480c-acfd-5ae90df1911d/print/
SQUIRE PATTON BOGGS,CONSUMER HEALTHCARE PRODUCTS ASSOCIATION,60000,4,2025-Q2,False,0,623a8926-b4c5-498f-8c83-cbafb6890cb2,https://lda.senate.gov/filings/public/filing/623a8926-b4c5-498f-8c83-cbafb6890cb2/print/
DGA GROUP GOVERNMENT RELATIONS LLC,"DENTONS US LLP ON BEHALF OF DEKALB COUNTY, GEORGIA",60000,16,2022-Q2,False,0,b0f8fd10-0dfc-4f3e-a813-8c78496ba035,https://lda.senate.gov/filings/public/filing/b0f8fd10-0dfc-4f3e-a813-8c78496ba035/print/
CROSS POTOMAC CONSULTING LLC,FIRST LINE TECHNOLOGY,60000,13,2023-Q1,False,0,be445cba-45a4-4bf5-8e62-2a4fbe3f889c,https://lda.senate.gov/filings/public/filing/be445cba-45a4-4bf5-8e62-2a4fbe3f889c/print/
"MASON STREET CONSULTING, LLC",FITON INC.,60000,3,2025-Q3,False,0,da2da962-b9c5-45eb-8d8b-b7fc2f8ce6a6,https://lda.senate.gov/filings/public/filing/da2da962-b9c5-45eb-8d8b-b7fc2f8ce6a6/print/
"DB3, LLC (FKA THE DASCHLE GROUP)","HEIMDAL, INC.",60000,8,2024-Q2,False,0,14286b53-b14a-49e4-9933-808c8a3dc17f,https://lda.senate.gov/filings/public/filing/14286b53-b14a-49e4-9933-808c8a3dc17f/print/
FORWARD GLOBAL,HERMAN LAW,60000,3,2025-Q3,False,0,29db4739-2055-4920-831b-f9a4f968a866,https://lda.senate.gov/filings/public/filing/29db4739-2055-4920-831b-f9a4f968a866/print/
"MERCURY PUBLIC AFFAIRS, LLC",JEFFERSON PARISH SCHOOLS,60000,9,2024-Q1,False,0,2c99c2c3-19b8-4156-92e6-70a53a1cfa6f,https://lda.senate.gov/filings/public/filing/2c99c2c3-19b8-4156-92e6-70a53a1cfa6f/print/
CFM STRATEGIC COMMUNICATIONS (CONKLING FISKUM & MCCORMICK),KING COUNTY WATER DISTRICT 54,60000,10,2023-Q4,False,0,2cfa62dc-68a7-407c-83ee-e1509e279775,https://lda.senate.gov/filings/public/filing/2cfa62dc-68a7-407c-83ee-e1509e279775/print/
PHOENIX STRATEGIES INC.,LOUISIANA CHAMBER OF COMMERCE FOUNDATION,60000,5,2025-Q1,False,0,eb92d317-9a4c-4a78-82fd-db43e2668f8a,https://lda.senate.gov/filings/public/filing/eb92d317-9a4c-4a78-82fd-db43e2668f8a/print/
CAPCVENTURES LLC,LYNAS RARE EARTHS LTD,60000,4,2025-Q2,False,0,655a2a09-1ed4-4d3c-93b8-1172b508c3ca,https://lda.senate.gov/filings/public/filing/655a2a09-1ed4-4d3c-93b8-1172b508c3ca/print/
CROSS POTOMAC CONSULTING LLC,"Logos Technologies, LLC",60000,17,2022-Q1,False,0,ea8c5723-6eff-4a05-871a-9d746ec63be9,https://lda.senate.gov/filings/public/filing/ea8c5723-6eff-4a05-871a-9d746ec63be9/print/
VAN SCOYOC ASSOCIATES,"MEMSEL, INC.",60000,14,2022-Q4,False,0,1194c5c8-1512-4b40-9716-7f0b8dee1ec9,https://lda.senate.gov/filings/public/filing/1194c5c8-1512-4b40-9716-7f0b8dee1ec9/print/
"THE MCKEON GROUP, INC.",MOMENTUM SOLUTIONS,60000,4,2025-Q2,False,0,d83e2476-c69e-42e4-aa74-e7a8f6ca89a1,https://lda.senate.gov/filings/public/filing/d83e2476-c69e-42e4-aa74-e7a8f6ca89a1/print/
"CORNERSTONE GOVERNMENT AFFAIRS, INC.","Merlin International, Inc.",60000,17,2022-Q1,False,0,415af6b7-2bff-44b4-a794-d25b80e8e6a5,https://lda.senate.gov/filings/public/filing/415af6b7-2bff-44b4-a794-d25b80e8e6a5/print/
"PLATINUM ADVISORS DC, LLC",Microsoft Corporation,60000,4,2025-Q2,False,0,88b6813e-cd7f-4942-b2db-5329561091a3,https://lda.senate.gov/filings/public/filing/88b6813e-cd7f-4942-b2db-5329561091a3/print/
TREMONT STRATEGIES GROUP LLC,NATIONAL AMBULANCE,60000,4,2025-Q2,False,0,79f48e12-0161-44dc-bc9c-0b380fe0bcea,https://lda.senate.gov/filings/public/filing/79f48e12-0161-44dc-bc9c-0b380fe0bcea/print/
"CORNERSTONE GOVERNMENT AFFAIRS, INC.","NELSON ENERGY, LLC",60000,12,2023-Q2,False,0,ba58df88-ab82-4044-b5c5-d2f365830196,https://lda.senate.gov/filings/public/filing/ba58df88-ab82-4044-b5c5-d2f365830196/print/
CHARTWELL STRATEGY GROUP LLC,PILLSBURY WINTHROP SHAW PITTMAN LLP ON BEHALF OF BEMOL RETAIL SLR,60000,5,2025-Q1,False,0,957ab461-2ea6-46ec-a452-6032b6f058dd,https://lda.senate.gov/filings/public/filing/957ab461-2ea6-46ec-a452-6032b6f058dd/print/
"ERVIN GRAVES STRATEGY GROUP, LLC",PMT GROUP,60000,14,2022-Q4,False,0,f2fba482-32c2-48eb-84c1-73f2770025e5,https://lda.senate.gov/filings/public/filing/f2fba482-32c2-48eb-84c1-73f2770025e5/print/
STRATEGIC MARKETING INNOVATIONS,PRECISION ADDITIVE AND MAGNESIUM INNOVATION GROUP,60000,3,2025-Q3,False,0,b7f90a00-ef9b-45b7-93d2-bbb5e36cd6c1,https://lda.senate.gov/filings/public/filing/b7f90a00-ef9b-45b7-93d2-bbb5e36cd6c1/print/
MICHAEL BEST STRATEGIES LLC,PRIMEX FAMILY OF COMPANIES,60000,16,2022-Q1,False,0,ccac251a-3f14-480d-bf52-39cba735f621,https://lda.senate.gov/filings/public/filing/ccac251a-3f14-480d-bf52-39cba735f621/print/
MR. STEPHEN M. RYAN,Paper Excellence Holdings Corporation,60000,17,2022-Q1,False,0,7f92b2e2-2592-466a-9caf-c651697e4a34,https://lda.senate.gov/filings/public/filing/7f92b2e2-2592-466a-9caf-c651697e4a34/print/
THE RESERVE COMPONENT,"Power Engineers, Inc.",60000,5,2025-Q1,False,0,97f050e4-8375-422d-bd97-2b1471864c43,https://lda.senate.gov/filings/public/filing/97f050e4-8375-422d-bd97-2b1471864c43/print/
WAXMAN STRATEGIES,REWIRING AMERICA INC.,60000,5,2025-Q1,False,0,e4127c54-2c94-45c6-b8d2-bce18576acc1,https://lda.senate.gov/filings/public/filing/e4127c54-2c94-45c6-b8d2-bce18576acc1/print/
THE DIONNE COMPANY,"ROBOTIC RESEARCH OPCO, LLC DBA FORTERRA (FKA ROBOTIC RESEARCH)",60000,5,2025-Q1,False,0,b4d6b8c8-6ff5-406c-a21d-6be247b7f956,https://lda.senate.gov/filings/public/filing/b4d6b8c8-6ff5-406c-a21d-6be247b7f956/print/
CAPITOL COUNSEL LLC,"Remitly, Inc.",60000,4,2025-Q2,False,0,e4fcc7fc-88ad-4d09-b381-ee15f374de4b,https://lda.senate.gov/filings/public/filing/e4fcc7fc-88ad-4d09-b381-ee15f374de4b/print/
THE VOGEL GROUP,"ST LNG, LLC",60000,3,2025-Q3,False,0,9076c0f6-fd8b-415f-8ac0-cb387944ce12,https://lda.senate.gov/filings/public/filing/9076c0f6-fd8b-415f-8ac0-cb387944ce12/print/
WINNING STRATEGIES WASHINGTON,STEVENS INSTITUTE OF TECHNOLOGY,60000,17,2022-Q1,False,0,dbe9e4c7-30b4-4319-ad41-d73d53381abe,https://lda.senate.gov/filings/public/filing/dbe9e4c7-30b4-4319-ad41-d73d53381abe/print/
"RED MAPLE CONSULTING, LLC",STRATEGIES 360 (ON BEHALF OF UNIVERSITY CORPORATION FOR ATMOSPHERIC RESEARCH),60000,5,2025-Q1,False,0,79bc7435-fb0c-4fdc-9f60-ea2dce835e9f,https://lda.senate.gov/filings/public/filing/79bc7435-fb0c-4fdc-9f60-ea2dce835e9f/print/
CAPITOL COUNSEL LLC,STRONGHOLD SOF SOLUTIONS,60000,5,2025-Q1,False,0,ae5452e9-fb92-49f5-a517-f64abd78af8c,https://lda.senate.gov/filings/public/filing/ae5452e9-fb92-49f5-a517-f64abd78af8c/print/
FIERCE GOVERNMENT RELATIONS,Securing America's Future Energy Alliance,60000,6,2024-Q4,False,0,785d6b32-7fa1-4a2b-9895-d4f8c41d2c67,https://lda.senate.gov/filings/public/filing/785d6b32-7fa1-4a2b-9895-d4f8c41d2c67/print/
"THE FARLEY GROUP, INC.",THE YAVAPAI-APACHE NATION,60000,11,2023-Q3,False,0,a4e57120-c28f-4451-926e-b02f0241eb26,https://lda.senate.gov/filings/public/filing/a4e57120-c28f-4451-926e-b02f0241eb26/print/
"MERCHANT MCINTYRE & ASSOCIATES, LLC","TODD COUNTY, SOUTH DAKOTA",60000,5,2025-Q1,False,0,92ebe007-cda9-4ad3-8ecc-575fb4263de1,https://lda.senate.gov/filings/public/filing/92ebe007-cda9-4ad3-8ecc-575fb4263de1/print/
PILLSBURY WINTHROP SHAW PITTMAN LLP,"Taber Extrusions, LLC",60000,2,2025-Q4,False,0,53979ddc-ac40-4e41-9816-f4c9edaa3387,https://lda.senate.gov/filings/public/filing/53979ddc-ac40-4e41-9816-f4c9edaa3387/print/
"PLAYMAKER STRATEGIES, LLC",U.S. CANOLA ASSOCIATION,60000,5,2025-Q1,False,0,a00daf81-639b-4ec8-a776-b305f2475913,https://lda.senate.gov/filings/public/filing/a00daf81-639b-4ec8-a776-b305f2475913/print/
KNIGHT CAPITOL CONSULTANTS,United Natural Products Alliance,60000,17,2022-Q1,False,0,1c808205-49a2-4976-98de-77c40f76e4b0,https://lda.senate.gov/filings/public/filing/1c808205-49a2-4976-98de-77c40f76e4b0/print/
DLA PIPER LLP (US),YAZAKI NORTH AMERICA,60000,2,2025-Q4,False,0,3c3f1ae4-c249-4b06-8e64-fead6ef924ea,https://lda.senate.gov/filings/public/filing/3c3f1ae4-c249-4b06-8e64-fead6ef924ea/print/
"WILLIAMS AND JENSEN, PLLC",YOTTA TECHNOLOGIES,60000,5,2025-Q1,False,0,f8c3b317-c5ba-4e30-bf4c-602bde8f0f52,https://lda.senate.gov/filings/public/filing/f8c3b317-c5ba-4e30-bf4c-602bde8f0f52/print/
"CAPITOL RESOURCES, LLC",Jackson State University,59400,5,2025-Q1,False,0,35e08814-c7cb-4e60-9ce3-15ded24612fd,https://lda.senate.gov/filings/public/filing/35e08814-c7cb-4e60-9ce3-15ded24612fd/print/
CARMEN GROUP INCORPORATED,ALARM INDUSTRY COMMUNICATIONS COMMITTEE (FKA ALARM INDUSTRY TELECOMMUNICATIONS),56000,17,2022-Q1,False,0,ab556eda-582a-46fa-a411-de0f947b3435,https://lda.senate.gov/filings/public/filing/ab556eda-582a-46fa-a411-de0f947b3435/print/
THE CONSILIO GROUP,"RIGAKU RAMAN TECHNOLOGIES, INC.",54000,17,2022-Q1,False,0,e6c5402f-c066-421d-bad7-a2bebb95bdcd,https://lda.senate.gov/filings/public/filing/e6c5402f-c066-421d-bad7-a2bebb95bdcd/print/
THE CONSILIO GROUP,IERUS TECHNOLOGIES,52000,5,2025-Q1,False,0,9ff8812f-3125-40ed-9a38-1a44fd069d65,https://lda.senate.gov/filings/public/filing/9ff8812f-3125-40ed-9a38-1a44fd069d65/print/
CAPITOL INTEGRATION,ARNOLD MAGNETIC TECHNOLOGIES,50000,17,2022-Q1,False,0,a7b07ae7-1e1d-4708-8343-4e72266e0071,https://lda.senate.gov/filings/public/filing/a7b07ae7-1e1d-4708-8343-4e72266e0071/print/
"MCALLISTER & QUINN, LLC",AURAVAX THERAPEUTICS,50000,5,2025-Q1,False,0,b722729c-daa1-459f-b715-6bae3418882c,https://lda.senate.gov/filings/public/filing/b722729c-daa1-459f-b715-6bae3418882c/print/
ACORN CONSULTING,American Efficient LLC,50000,2,2025-Q4,False,0,aabd4413-910c-479e-8948-af7c72dfba67,https://lda.senate.gov/filings/public/filing/aabd4413-910c-479e-8948-af7c72dfba67/print/
"LINCHPIN STRATEGIES, LLC",CALIFORNIA HEAD START ASSOCIATION (AKA HEAD START CALIFORNIA),50000,3,2025-Q3,False,0,1d3d7530-14d4-4556-9825-99d47ca8c84a,https://lda.senate.gov/filings/public/filing/1d3d7530-14d4-4556-9825-99d47ca8c84a/print/
STRATEGIC MARKETING INNOVATIONS,"CARDINAL POINT PARTNERS, LLC ON BEHALF OF TONIX PHARMACEUTICALS",50000,5,2025-Q1,False,0,17613a16-e6b8-45b0-84ce-3ec8abd20c29,https://lda.senate.gov/filings/public/filing/17613a16-e6b8-45b0-84ce-3ec8abd20c29/print/
"MILLER STRATEGIES, LLC","CROSS COUNTRY HEALTHCARE, INC.",50000,2,2025-Q4,False,0,2f9da1c0-c174-4434-b1e5-4d286bbc8acc,https://lda.senate.gov/filings/public/filing/2f9da1c0-c174-4434-b1e5-4d286bbc8acc/print/
THE INGRAM GROUP LLC,Center for Health and Democracy,50000,5,2025-Q1,False,0,c275b822-1c75-4bd4-ab58-e6c797fa4960,https://lda.senate.gov/filings/public/filing/c275b822-1c75-4bd4-ab58-e6c797fa4960/print/
"CORNERSTONE GOVERNMENT AFFAIRS, INC.",Childrens Hospital Los Angeles,50000,2,2025-Q4,False,0,460da4e8-0dc5-4194-8ba8-6166248e1c25,https://lda.senate.gov/filings/public/filing/460da4e8-0dc5-4194-8ba8-6166248e1c25/print/
"1607 STRATEGIES, LLC",EARNEST,50000,5,2025-Q1,False,0,f025c066-b843-4862-9c15-18ee54d042ac,https://lda.senate.gov/filings/public/filing/f025c066-b843-4862-9c15-18ee54d042ac/print/
CLARK HILL PUBLIC STRATEGIES LLC,EXPEDITED TRAVEL,50000,6,2024-Q4,False,0,32064526-054f-4df6-aa27-ec58f693d9e6,https://lda.senate.gov/filings/public/filing/32064526-054f-4df6-aa27-ec58f693d9e6/print/
"SANDLER, TRAVIS & ROSENBERG, P.A.",FAMILY FRIENDLY (BFF) AD HOC COALITION,50000,2,2025-Q4,False,0,bf5a1986-de62-452a-aff6-b0b2fcf2c1bf,https://lda.senate.gov/filings/public/filing/bf5a1986-de62-452a-aff6-b0b2fcf2c1bf/print/
S-3 GROUP,"FORGE GROUP, LLC",50000,1,2026-Q1,True,0,4ca81ec6-62ec-4cfd-aec8-22b1de688cb9,https://lda.senate.gov/filings/public/filing/4ca81ec6-62ec-4cfd-aec8-22b1de688cb9/print/
DAVIS & HARMAN LLP,GIRL SCOUTS OF THE USA,50000,17,2022-Q1,False,0,d3e13fde-6fdc-4010-9a02-87f0ce8f3413,https://lda.senate.gov/filings/public/filing/d3e13fde-6fdc-4010-9a02-87f0ce8f3413/print/
BRIAN GLACKIN & ASSOCIATES LLC,JONES WALKER LLP (ON BEHALF OF SEATREC INCORPORATED),50000,9,2024-Q1,False,0,53870928-f9fa-42bf-9da4-b31a44888feb,https://lda.senate.gov/filings/public/filing/53870928-f9fa-42bf-9da4-b31a44888feb/print/
"RUBIN, TURNBULL & ASSOCIATES",KUZEY STAR SHIPYARD,50000,3,2025-Q3,False,0,85ab2a36-b887-4b1f-b375-3d36dcde6333,https://lda.senate.gov/filings/public/filing/85ab2a36-b887-4b1f-b375-3d36dcde6333/print/
FIERCE GOVERNMENT RELATIONS,LAKESIDE BOOKS,50000,4,2025-Q2,False,0,4228f16c-a7b3-4999-b274-2ca88146f368,https://lda.senate.gov/filings/public/filing/4228f16c-a7b3-4999-b274-2ca88146f368/print/
"MERCURY PUBLIC AFFAIRS, LLC",Loyola University New Orleans,50000,8,2024-Q2,False,0,d0cc9298-2ced-4bea-99cc-627b6a97b4d0,https://lda.senate.gov/filings/public/filing/d0cc9298-2ced-4bea-99cc-627b6a97b4d0/print/
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",MDF GLOBAL,50000,2,2025-Q4,False,0,93d4e8eb-3be9-45ca-b878-7d0f30c10bdf,https://lda.senate.gov/filings/public/filing/93d4e8eb-3be9-45ca-b878-7d0f30c10bdf/print/
